City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,key west,24.5557,-81.7826,26.67,87,100,1.34,US,1728997217
1,sisimiut,66.9395,-53.6735,-1.29,75,98,1.83,GL,1728997470
2,kulachi,31.9286,70.4592,32.75,14,0,1.73,PK,1728997471
3,nadym,65.5333,72.5167,0.51,92,100,2.05,RU,1728997406
4,saidpur,25.7777,88.8917,25.35,76,28,1.76,BD,1728997473
5,bethel,41.3712,-73.414,7.31,83,0,3.6,US,1728997474
6,olonkinbyen,70.9221,-8.7187,-1.71,67,100,3.77,SJ,1728997475
7,francisco sa,-16.4758,-43.4883,26.68,45,100,5.42,BR,1728997476
8,korocha,50.8107,37.1953,10.35,75,100,3.74,RU,1728997477
9,puerto natales,-51.7236,-72.4875,10.25,71,75,10.8,CL,1728997254
10,albany,42.6001,-73.9662,5.25,76,99,1.34,US,1728997208
11,aral,40.5156,81.2636,20.97,20,29,3.94,CN,1728997481
12,bengkulu,-3.8004,102.2655,25.78,78,100,1.69,ID,1728997482
13,wailua homesteads,22.0669,-159.378,23.96,89,32,5.21,US,1728997483
14,constantia,44.1833,28.65,20.39,67,5,6.71,RO,1728997484
15,aitape,-3.1374,142.3475,26.97,82,100,1.72,PG,1728997486
16,maintirano,-18.0667,44.0167,27.45,63,0,6.07,MG,1728997487
17,nowshahr,36.649,51.496,19.97,94,100,0.0,IR,1728997488
18,bilibino,68.0546,166.4372,-10.39,97,98,2.96,RU,1728997489
19,tolanaro,-25.0319,46.9987,27.04,65,20,5.14,MG,1728997490
20,manta,-0.95,-80.7333,21.88,88,100,4.12,EC,1728997316
21,mchinji,-13.7984,32.8802,29.5,32,78,3.68,MW,1728997492
22,sao vicente,-23.9631,-46.3919,24.43,33,75,2.24,BR,1728997493
23,vilyuchinsk,52.9306,158.4028,1.15,78,0,1.13,RU,1728997494
24,susuman,62.7833,148.1667,-4.84,96,100,1.95,RU,1728997496
25,hakui,36.8833,136.7833,21.25,77,100,1.22,JP,1728997497
26,qaqortoq,60.7167,-46.0333,1.66,87,83,1.21,GL,1728997498
27,jamestown,42.097,-79.2353,5.01,98,100,4.12,US,1728997499
28,gemena,3.25,19.7667,22.51,96,100,2.1,CD,1728997500
29,kinablangan,7.6947,126.5503,25.88,85,40,1.17,PH,1728997501
30,fort portal,0.6617,30.2748,19.32,83,100,1.05,UG,1728997502
31,luderitz,-26.6481,15.1594,17.29,73,4,4.49,NA,1728997503
32,edinburgh of the seven seas,-37.0676,-12.3116,11.48,64,3,5.87,SH,1728997505
33,iskateley,67.6803,53.1512,1.1,80,100,5.53,RU,1728997506
34,talnakh,69.4865,88.3972,-18.16,86,6,4.4,RU,1728997507
35,adamstown,-25.066,-130.1015,21.09,85,39,7.47,PN,1728997360
36,waitangi,-43.9535,-176.5597,6.57,82,100,2.68,NZ,1728997509
37,st. john's,47.5649,-52.7093,11.75,97,100,8.75,CA,1728997312
38,labrador city,52.9463,-66.9114,-1.05,94,100,32.19,CA,1728997338
39,port isabel,26.0734,-97.2086,20.57,92,0,1.54,US,1728997512
40,port-aux-francais,-49.35,70.2167,1.79,64,5,16.64,TF,1728997513
41,port lincoln,-34.7333,135.8667,17.27,81,5,3.42,AU,1728997515
42,egilsstadir,65.2653,-14.3948,2.95,100,100,4.12,IS,1728997516
43,punta arenas,-53.15,-70.9167,13.06,50,40,15.95,CL,1728997517
44,neyriz,29.1988,54.3278,26.02,17,22,3.19,IR,1728997283
45,keflavik,64.0049,-22.5624,6.24,100,100,5.14,IS,1728997519
46,selfoss,63.9331,-20.9971,7.8,84,100,4.18,IS,1728997520
47,ribeira grande,38.5167,-28.7,22.1,68,40,7.72,PT,1728997521
48,port mathurin,-19.6833,63.4167,22.69,72,9,6.75,MU,1728997523
49,pahrump,36.2083,-115.9839,15.7,23,0,1.26,US,1728997463
50,kalmunai,7.4167,81.8167,26.12,76,100,0.6,LK,1728997525
51,barra de santo antonio,-9.4047,-35.5072,27.03,66,23,4.68,BR,1728997526
52,port augusta,-32.5,137.7667,21.55,55,6,5.58,AU,1728997527
53,hithadhoo,-0.6,73.0833,28.51,73,64,4.44,MV,1728997528
54,atafu village,-8.5421,-172.5159,28.14,73,99,4.59,TK,1728997529
55,bor,56.3567,44.0669,4.96,78,100,5.42,RU,1728997531
56,mount isa,-20.7333,139.5,21.87,68,0,0.0,AU,1728997532
57,newborough,52.6389,-0.2233,14.49,88,100,3.6,GB,1728997533
58,tralee,52.2704,-9.7026,16.14,94,100,5.66,IE,1728997534
59,samdari,25.8167,72.5833,33.94,23,52,2.09,IN,1728997536
60,boulsa,12.6675,-0.5758,34.59,35,55,3.65,BF,1728997537
61,uturoa,-16.7333,-151.4333,24.25,73,0,2.47,PF,1728997538
62,as samawah,31.332,45.2944,37.76,11,0,2.11,IQ,1728997539
63,port elizabeth,-33.918,25.5701,19.16,57,20,8.75,ZA,1728997241
64,tsetserleg,47.475,101.4542,0.7,100,100,1.72,MN,1728997542
65,sretensk,52.2453,117.7093,-4.86,89,94,1.0,RU,1728997543
